f1,f2
0.23924615561387594,0.2964431011574781
0.1447653435388869,0.3859141137671951
0.0057416919448483456,0.5249377475804347
0.4623110749115449,0.06974923336588136
0.2679387021366306,0.2643653598691085
0.501128840204122,0.03118549152873025
0.05114172597086544,0.48086617821682653
0.13221519105098362,0.3961169893939508
0.3567314272355402,0.17224986285027644
0.18475428599089228,0.34811675509444384
0.19772464938711024,0.3312038448637136
0.4466364328908173,0.08583971921926628
0.19871693731092843,0.3302023457618529
0.5280214571340027,1.789829833830528e-05
0.10822064276073176,0.42342066271495077
0.5173198778925621,0.011298814457018054
0.2519228703875371,0.2796718478399974
0.011976827668469078,0.5208100612809408
0.16648860905973178,0.3639999071130013
0.18694340318727187,0.3444160210143105
0.13816113077243944,0.39402700360407017
0.5050150215428967,0.025586000435174967
0.18011975018478166,0.3530632162706212
0.27053080964349496,0.26182347496396596
0.42150285524342124,0.10704680461017269
0.11998761893132973,0.4105085629762946
0.161526888629774,0.36906623858958426
0.20056265496256828,0.32835173237315285
0.4582433988329045,0.07770624338569782
0.2860996286451416,0.2462533785974388
0.3246545331487165,0.2187381940786595
0.2627359908617129,0.2666402580981097
0.24597351707541187,0.28586167226683223
0.12621149608819926,0.40308390205176203
0.06596448964012455,0.4628992002589923
0.04966957856586334,0.4823383242564764
0.2587278058695959,0.2735463824935169
0.020338640238226194,0.5111108113935781
0.4448015595788527,0.09120473962463103
0.25033775357549487,0.28446924643727606
0.1628086257510392,0.36764846434315446
0.08769567058022308,0.4408018091316079
0.30391606746789734,0.22467482463282426
0.08509115711219488,0.44568806893742047
0.22487704164753192,0.30339711022594334
0.2803961872934072,0.25194021608160344
0.4933618239599261,0.03882044407583698
0.10398939497279881,0.4249055418307597
0.4344003854166102,0.09411162182475565
0.4494224631225586,0.08257703610129727
0.4537620475135978,0.07850171081046037
0.39546906974967916,0.13362326497526583
0.10106042719082702,0.4274715508079422
0.36321750247967444,0.16670977027776068
0.2050851289063215,0.3237572345793157
0.17388988209368353,0.3578114947081791
0.117467619015857,0.413650544006513
0.18781818763216562,0.3394412967033633
0.029268655068591675,0.5030802520742623
0.12761772675396216,0.40070439116393836
0.4835248030637671,0.04481772703980847
0.47412659602191526,0.05530392339869935
0.015635918189602267,0.5162093375037723
0.3969406952105067,0.1312674967755499
0.2201617320855719,0.31464526797627085
0.46348474810223633,0.06850659684476587
0.12873193733603885,0.3995939770082793
0.41556936294461516,0.11274049581581838
0.40940095111173735,0.11924450438469704
0.3754265063223953,0.1518290707886341
0.0006924274481088057,0.5302539823491523
0.11524380782890713,0.4170558063217699
0.4778875260079419,0.051374768516659376
0.05773863164180673,0.4732208523157866
0.2964298219430598,0.23523700920006918
0.02336952950128473,0.5089244804404731
0.5085882138225137,0.0193807155158485
0.3348943949972738,0.19341546376315977
0.09238466158727152,0.43610716053012205
0.2767668412399228,0.2553544247154754
0.33675360531815607,0.19101976416163274
0.3030497401184235,0.2258613926381137
0.42840260914274964,0.1043985781030293
0.08005079870713695,0.4525542860071397
0.1679453047409297,0.3619277959665929
0.09472498767867611,0.43422025631147665
0.05396305849861316,0.47772906314811825
0.4167138764744248,0.11160115711213194
0.3918667479802439,0.1412460476135932
0.47144773830811537,0.0575300122302017
0.10084570331364567,0.4284959494827318
0.19278327483962915,0.3344741241862415
0.15433214851009802,0.3755495610662868
0.28439865275919135,0.24772451066683193
0.03329862014577657,0.4951932019716169
0.12209564567365153,0.4084051226839038
0.27385812925716807,0.25740922604577604
0.30048389145234683,0.2303612078336453
0.2550442185884822,0.2751567713624859
0.03786106618640123,0.49105082218162055
