f1,f2,f3
0.917772479281227,0.2831680402942566,0.27841026230052207
0.6217321439404769,0.7754901626552245,0.1098567461572843
0.7247071839102535,0.561116688972802,0.39993958179034356
0.014364869931480501,0.934044607157835,0.35687119584293964
0.7569053833968112,0.6284104966086086,0.17943195259531455
0.8153616316805364,0.5782143521834315,0.029270994943345074
0.9449364336773101,0.008697942326468871,0.32714403554722987
0.3200319117496737,0.9158575136792492,0.24246206364912687
7.254008312216347e-08,5.072991284918317e-06,1.000000913860511
0.949051684706663,0.3140440880689835,0.026068714527156686
0.0164860933564228,0.30875346599686954,0.9510001725674825
0.3260917369341975,0.013590974872757742,0.9452418218922118
0.456749961732018,0.440159176798872,0.7730727021915026
0.4360829720080677,0.07365870689097732,0.896888051564822
0.6551183900554358,0.6758491555946958,0.3377154883009373
0.6667906147975832,0.5155346416857257,0.5381596580101018
0.5339281850699433,0.504924398631192,0.678213732089803
0.893529798504551,0.028542754993869702,0.4480978887727008
0.6966275533486233,0.09144905971230549,0.7115841119086501
0.35990317452876097,0.3609713359521893,0.8603337872162847
0.3657292473152285,0.8499571589760382,0.3792350950434064
0.33078390958307413,0.7949827039966535,0.5085141780110146
0.7769889120392133,0.00651009202324563,0.6294823751125808
0.06679060757151978,0.43218508593070065,0.8993101176139335
0.8614198918378955,0.3442107988902875,0.3734702669318413
0.12332360128862455,0.7671686785169998,0.629483595596236
0.013551101653694032,0.7024725688653665,0.7115830046867595
0.18131210608884263,0.12173486683311242,0.9758642313924515
0.7905170262098093,0.42605145042613685,0.43996282817380017
0.592801092867341,0.6370735251678596,0.49267501267005065
0.5352142200736464,0.0020267326016148385,0.8447144422420507
0.8357523608624389,0.4916447712387102,0.24455257204948447
0.6253240235386155,0.027622472914656096,0.7798777797435628
0.4953619758792082,0.2923748893523582,0.8180067125545596
0.00014921261057605298,1.0000020200774045,4.030231988178732e-05
0.8957068396812565,0.44453377801539495,0.010086684894253156
0.0064615984294878,0.5340673466359046,0.8454192780339888
0.44131829727529864,0.8972668888554949,0.012547363972082955
1.0000005532661116,5.351661733200486e-05,2.3774916931876825e-07
0.5054595207496209,0.6085518117174307,0.6117012983959015
0.7034337221818122,0.7107603762311718,0.001432059696852235
0.32891083268556015,0.6677498576244444,0.6677815575134518
0.4269040537832205,0.712825705310973,0.556450008983588
0.05915573513984226,0.9728503647662461,0.22375103005336947
0.004791353676261183,0.8326973968869809,0.5537085384609536
0.4894791426968972,0.8120494880324803,0.31778723716212004
0.1134792236902986,0.8846428151548681,0.4522507882740809
0.7192232494183741,0.3135650336612628,0.6199972143635029
0.5406711967290909,0.840651970424435,0.03131640837676921
0.3821210806693933,0.5698076213998388,0.7275349838078585
0.3023245673976201,0.49474721174630526,0.81475539405627
0.2769945469647819,0.278793385196168,0.919538041289744
0.633718050694265,0.42388226787834543,0.6470925680137498
0.8391708017725455,0.11368093027965928,0.5318560131105785
0.09001012037021928,0.6208793758574829,0.7787234030752946
0.2823731968045927,0.9587957039632551,0.03125793492249857
0.5860589677762779,0.3399184196680053,0.7355247930080737
0.5357383021226767,0.7390724216250124,0.4083617503445033
0.7615282713964323,0.3448577096669197,0.5487704971953176
0.9752128418079723,0.13539912578862984,0.17502387434260502
